iter	Passed	Remaining
0	139	69685
1	283	70494
2	463	76798
3	604	74943
4	776	76829
5	897	73898
6	1055	74333
7	1222	75155
8	1340	73116
9	1467	71903
10	1617	71887
11	1754	71358
12	1890	70806
13	2007	69695
14	2140	69202
15	2278	68936
16	2421	68812
17	2607	69823
18	2797	70812
19	2964	71159
20	3111	70968
21	3229	70165
22	3365	69805
23	3528	69986
24	3667	69684
25	3804	69358
26	3916	68618
27	4067	68559
28	4291	69704
29	4546	71221
30	4769	72165
31	4979	72822
32	5120	72465
33	5270	72238
34	5406	71835
35	5552	71569
36	5681	71099
37	5821	70779
38	5932	70128
39	6077	69885
40	6229	69744
41	6365	69418
42	6491	68991
43	6671	69140
44	6868	69452
45	7001	69106
46	7132	68745
47	7251	68287
48	7373	67863
49	7573	68165
50	7732	68076
51	7889	67968
52	8083	68177
53	8248	68126
54	8386	67851
55	8527	67612
56	8664	67337
57	8785	66953
58	8917	66651
59	9049	66363
60	9186	66110
61	9355	66091
62	9467	65673
63	9740	66355
64	9815	65685
65	9943	65385
66	10078	65134
67	10214	64892
68	10344	64618
69	10483	64399
70	10635	64262
71	10757	63949
72	10867	63566
73	10988	63257
74	11097	62886
75	11220	62600
76	11355	62382
77	11497	62202
78	11623	61941
79	11737	61619
80	11845	61276
81	11968	61011
82	12152	61055
83	12297	60900
84	12449	60783
85	12589	60606
86	12710	60339
87	12855	60185
88	12982	59954
89	13099	59675
90	13219	59415
91	13347	59195
92	13479	58989
93	13613	58797
94	13750	58618
95	13865	58351
96	13978	58077
97	14100	57841
98	14226	57622
99	14344	57379
100	14473	57177
101	14700	57361
102	14900	57431
103	15101	57502
104	15261	57412
105	15403	57253
106	15551	57119
107	15680	56912
108	15800	56679
109	15972	56631
110	16130	56528
111	16274	56379
112	16420	56235
113	16550	56037
114	16676	55829
115	16786	55568
116	16900	55325
117	17031	55134
118	17161	54944
119	17276	54709
120	17465	54705
121	17625	54611
122	17779	54493
123	17904	54291
124	18021	54064
125	18144	53856
126	18265	53644
127	18386	53436
128	18534	53304
129	18674	53149
130	18814	52997
131	18939	52800
132	19066	52613
133	19205	52456
134	19326	52254
135	19496	52182
136	19622	51992
137	19786	51903
138	19915	51724
139	20052	51563
140	20196	51423
141	20340	51281
142	20460	51080
143	20584	50888
144	20714	50714
145	20833	50513
146	20945	50297
147	21086	50152
148	21236	50027
149	21347	49811
150	21474	49633
151	21596	49445
152	21720	49262
153	21851	49095
154	22004	48977
155	22123	48784
156	22302	48724
157	22455	48607
158	22587	48442
159	22714	48269
160	22869	48154
161	23021	48033
162	23165	47894
163	23262	47659
164	23413	47536
165	23523	47330
166	23678	47214
167	23834	47100
168	23970	46948
169	24110	46803
170	24246	46650
171	24490	46701
172	24824	46922
173	24943	46732
174	25064	46549
175	25206	46402
176	25327	46218
177	25505	46139
178	25694	46077
