SK_ID_CURR,AGE,ANNUAL_INCOME,LOAN_AMOUNT,EMPLOYMENT_YEARS,CREDIT_SCORE,EXISTING_LOANS,TARGET
100000,59,77767,58019,22,432,2,1
100001,49,48054,81154,32,438,1,1
100002,35,95319,12373,7,792,4,1
100003,63,122789,40281,11,369,4,0
100004,28,65397,25187,9,314,0,1
100005,41,33233,72863,14,511,2,1
100006,59,131205,89085,23,359,0,1
100007,39,110020,44220,25,551,2,1
100008,43,45068,12642,38,745,0,0
100009,31,85727,84971,2,301,4,1
100010,31,110610,60556,1,635,4,1
100011,44,90453,38760,5,318,0,0
100012,56,124135,43192,20,377,2,1
100013,60,45832,9381,8,771,3,0
100014,44,128464,24558,9,327,2,1
100015,23,106242,35782,35,464,0,0
100016,42,33682,9782,2,757,2,1
100017,22,112298,96417,23,475,1,0
100018,44,43383,59712,21,328,2,1
100019,64,78160,99945,13,578,4,1
100020,50,113332,24462,26,582,4,0
100021,58,43666,65030,32,778,1,0
100022,22,78817,73519,21,818,2,1
100023,41,111198,61411,28,604,3,0
100024,53,130695,60206,18,408,2,1
100025,32,54642,51950,18,623,4,1
100026,42,61830,7523,5,505,4,1
100027,64,123067,65926,18,533,0,1
100028,45,30234,14677,12,757,4,1
100029,47,77616,80828,25,486,0,1
100030,62,29221,20089,21,781,4,1
100031,48,31410,9581,20,706,4,1
100032,36,100055,16907,35,808,3,0
100033,35,81413,10609,1,819,0,1
100034,64,21051,56153,29,352,0,1
100035,23,130529,55539,26,697,4,0
100036,57,95301,49143,6,498,0,1
100037,27,96918,27936,19,690,4,1
100038,41,98116,55182,30,797,4,1
100039,29,142226,18163,22,471,2,1
100040,59,76563,64758,12,385,0,0
100041,38,117859,51057,16,485,1,1
100042,24,64757,17537,3,455,0,1
100043,45,146169,27419,13,792,0,1
100044,34,141008,47578,19,820,3,1
100045,29,97475,79991,12,429,1,1
100046,46,71257,79599,2,380,1,0
100047,22,115500,5834,25,683,3,0
100048,40,20307,37214,25,594,3,0
100049,48,76889,97934,17,568,0,1
100050,27,88895,7413,31,834,2,1
100051,64,115184,14505,13,677,3,0
100052,28,55944,7105,2,675,1,1
100053,55,119555,73104,0,387,1,0
100054,34,58134,63408,25,410,0,0
100055,37,47323,42679,23,453,2,0
100056,56,136205,84731,34,762,4,1
100057,60,91762,70131,13,455,3,1
100058,24,107225,69280,2,617,3,1
100059,22,116507,20762,12,537,0,0
100060,26,45954,63703,13,633,2,1
100061,62,75021,86434,20,405,1,0
100062,24,109959,68079,25,781,1,1
100063,49,115927,26577,2,681,4,1
100064,38,99866,6214,39,560,1,0
100065,46,90427,91339,3,592,3,1
100066,64,24992,53114,35,634,4,1
100067,54,21961,94234,0,775,2,1
100068,30,32497,68230,39,524,4,1
100069,56,137551,37980,32,753,2,1
100070,34,52551,72194,6,595,1,1
100071,51,96384,82806,10,762,0,1
100072,35,145374,42792,26,513,4,0
100073,28,75755,50807,13,457,4,0
100074,34,33255,27301,21,571,3,1
100075,43,24567,10141,15,537,3,1
100076,60,68847,18777,11,602,2,1
100077,41,124817,43346,9,820,0,0
100078,36,68003,59703,23,620,3,0
100079,38,40389,99977,17,358,3,0
100080,44,64523,52819,21,657,1,1
100081,46,143802,33469,8,550,1,0
100082,45,81576,8845,16,735,3,1
100083,61,147342,28290,37,445,2,0
100084,49,63919,35699,39,651,0,0
100085,35,102103,49252,12,544,3,1
100086,21,142443,8293,36,600,2,0
100087,45,23358,62089,5,737,2,0
100088,27,108535,21608,20,399,3,1
100089,29,127894,71273,35,779,2,1
100090,44,141485,21619,6,714,4,1
100091,21,96524,83006,35,464,2,1
100092,64,143416,92908,24,601,3,1
100093,28,125982,86653,10,420,2,0
100094,44,117057,19779,13,387,3,1
100095,31,25698,56040,28,516,1,1
100096,37,86809,99830,9,478,3,1
100097,28,113079,61325,4,462,2,0
100098,55,75805,26630,7,469,3,0
100099,55,51349,17178,4,600,0,0
100100,53,96777,24935,23,673,3,1
100101,25,70248,52258,39,502,3,1
100102,62,95033,27784,25,346,0,1
100103,59,127411,68722,5,762,0,1
100104,61,118239,28027,15,707,0,1
100105,48,64041,62853,35,493,4,1
100106,27,51954,72359,11,726,3,1
100107,29,28002,77388,10,616,0,1
100108,28,89783,83608,2,778,0,0
100109,32,127524,81669,36,720,1,1
100110,54,107234,20111,5,568,4,1
100111,53,144857,37312,18,780,3,0
100112,43,39738,29161,17,562,2,1
100113,44,30703,72313,15,725,4,1
100114,57,133776,55374,22,465,4,0
100115,55,69422,29014,36,727,1,1
100116,64,103106,85308,8,696,3,1
